"Название журнала","Специализация","Дата включения в реестр"
"Известия СПбГЭТУ ЛЭТИ","01.04.00 – физика»;
05.09.00 – электротехника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
02.00.00 – химические науки",2015-12-01
"Известия Тульского государственного университета. Технические науки","05.02.00 – машиностроение и машиноведение;
05.09.00 – электротехника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
20.00.00 – военные науки.",2015-12-01
"Известия Уральского федерального университета. Серия 3.
Общественные науки","23.00.00 – политология;
09.00.00 – философские науки;
22.00.00 – социологические науки.",2015-12-01
"Известия Юго-Западного государственного университета","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.23.00 – строительство и архитектура;
08.00.00 – экономические науки
12.00.00 – юридические науки.",2015-12-01
"Известия Юго-Западного государственного университета. Серия Управление, вычислительная техника, информатика. Медицинское приборостроение","03.01.00 – физико-химическая биология;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;",2015-12-01
"Известия Юго-Западного государственного университета. Серия Экономика. Социология. Менеджмент","08.00.00 – экономические науки;22.00.00 – социологические науки;09.00.00 – философские науки.",2015-12-01
"Известия ЮФУ. Технические науки","01.04.00 – физика;
05.02.00 – машиностроение и машиноведение;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2015-12-01
"Инновации","05.02.00 – машиностроение и машиноведение
05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки
09.00.00 – философские науки.",2015-12-01
"Интеграция образования Integration of Education","19.00.00 – психологические науки;13.00.00 – педагогические науки;22.00.00 – социологические науки.",2015-12-01
"Интеллект. Инновации. Инвестиции","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
08.00.00 – экономические науки;
09.00.00 – философские науки.",2015-12-01
"Интеллектуальные системы в производстве","01.01.00 – математика;
05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
25.00.00 – науки о Земле.",2015-12-01
"Интеллигенция и мир","07.00.00 – исторические науки и археология;22.00.00 – социологические науки;23.00.00 – политология",2015-12-01
"Информатизация и связь","05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация;
05.27.00 – электроника.",2015-12-01
"Информатизация образования и науки","05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Информатика и ее применения","08.00.00 – экономические науки;
01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление",2015-12-01
"Информатика и образование","05.13.00 – информатика, вычислительная техника и управление;
13.00.00 – педагогические науки.",2015-12-01
"Информатика и системы управления","05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Информационное общество","05.13.00 – информатика, вычислительная техника и управление;
22.00.00 – социологические науки;",2015-12-01
"Информационно-измерительные и управляющие системы","01.01.00 – математика;
01.04.00 – физика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Информационно-управляющие системы","01.01.00 –  математика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Информационные и телекоммуникационные технологии","05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Информационные ресурсы России","05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация.",2015-12-01
"Информационные системы и технологии","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Информационные технологии","05.01.00 –инженерная геометрия и компьютерная графика;
05.11.00 –приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 –радиотехника и связь;
05.13.00 –информатика, вычислительная техника и управление",2015-12-01
"Информация и безопасность","05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Информация и Космос","05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.07.00 – авиационная и ракетно- космическая техника;
25.00.00 – науки о Земле",2015-12-01
"Искусственный интеллект и принятие решений","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление;
19.00.00 – психологические науки.",2015-12-01
"Историческая и социально- образовательная мысль","07.00.00 – исторические науки и археология;
13.00.00 – педагогические науки;
22.00.00 – социологические науки.",2015-12-01
"Казанский педагогический журнал","19.00.00 – психологические науки;13.00.00 – педагогические науки;22.00.00 – социологические науки.",2015-12-01
"Казанский социально-гуманитарный вестник","08.00.00 – экономические науки;
22.00.00 – социологические науки;
23.00.00 – политология",2015-12-01
"Качество и жизнь","05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы
и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
05.26.00 – безопасность деятельности человека",2015-12-01
"Качество. Инновации. Образование","05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника;
08.00.00 – экономические науки;
13.00.00 – педагогические науки.",2015-12-01
"Коммуникология","23.00.00 – политология;
24.00.00 – культурология;
22.00.00 – социологические науки.",2015-12-01
"Контроль. Диагностика","05.02.00 – машиностроение и машиноведение
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Космонавтика и ракетостроение","01.02.00 – механика;
05.07.00 – авиационная и ракетно- космическая техника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Личность. Культура. Общество","24.00.00 – культурология;
09.00.00 – философские науки;
22.00.00 – социологические науки.",2015-12-01
"Математические заметки СВФУ","01.01.00 – математика;
01.02.00 – механика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
,"14.03.00 – медико-биологические науки;
19.00.00 – психологические науки;
22.00.00 – социологические науки.",
"Металлообработка","05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 – металлургия и материаловедение",2015-12-01
"Мехатроника, автоматизация, управление","05.13.00 – информатика, вычислительная техника и управление;
05.02.00 – машиностроение и машиноведение;
05.07.00 – авиационная и ракетно- космическая техника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.22.00 – транспорт",2015-12-01
"Мир психологии","19.00.00 – психологические науки;13.00.00 – педагогические науки;22.00.00 – социологические науки.",2015-12-01
"Мир транспорта","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
05.23.00 – строительство и архитектура;
08.00.00 – экономические науки.",2015-12-01
"Мониторинг правоприменения","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-01
"МОНИТОРИНГ. Наука и Технологии","01.04.00 – физика;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
05.26.00 – безопасность деятельности человека;
25.00.00 – науки о Земле.",2015-12-01
"Морская радиоэлектроника","05.08.00 – кораблестроение;
05.12.00 – радиотехника и связь;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Муниципальная академия","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-01
"Надежность","05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика
05.22.00 – транспорт;
05.26.00 – безопасность деятельности человека.",2015-12-01
"Народонаселение","14.02.00 – профилактическая медицина;
08.00.00 – экономические науки;
22.00.00 – социологические науки.",2015-12-01
"Наука и техника транспорта","05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
05.23.00 – строительство и архитектура;
05.26.00 – безопасность деятельности человека;
08.00.00 – экономические науки.",2015-12-01
"Наука и технологии трубопроводного транспорта нефти и нефтепродуктов","25.00.00 – науки о Земле;
05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.26.00 – безопасность деятельности человека;
08.00.00 –экономические науки.",2015-12-01
"Наукоемкие технологии в космических исследованиях Земли","01.01.00 – математика;
05.07.00 – авиационная и ракетно- космическая техника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Научное приборостроение","01.04.00 – физика;
03.01.00 – физико-химическая биология;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Научно-практический журнал
Системная психология и социология","19.00.00 – психологические науки;
22.00.00 – социологические науки.",2015-12-01
"Научно-технические ведомости Санкт-Петербургского государственного политехнического университета. Информатика.
Телекоммуникации. Управление  = St. Petersburg State Polytechnical University Journal. Computer Science. Telecommunications and Control Systems","05.13.00 – информатика, вычислительная техника и управление;
05.12.00 – радиотехника и связь;
05.27.00 – электроника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы.",2015-12-01
"Научно-технический вестник информационных технологий, механики и оптики","01.04.00 – физика;
05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы
05.13.00 – информатика, вычислительная техника и управление
05.27.00 – электроника.",2015-12-01
"Научно-технический вестник Поволжья","01.01.00 – математика;
02.00.00 – химические науки
05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Научно-технический журнал
Надежность и безопасность энергетики","05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
05.26.00 – безопасность деятельности человека;
08.00.00 – экономические науки.",2015-12-01
"Научные ведомости Белгородского государственного университета.
Серия Философия. Социология. Право","09.00.00 – философские науки;
22.00.00 – социологические науки;
12.00.00 – юридические науки",2015-12-01
"Научные ведомости Белгородского государственного университета.
Серия: Экономика. Информатика","08.00.00 – экономические науки;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Научный вестник Московского государственного технического университета гражданской авиации","05.02.00 – машиностроение и машиноведение;
05.07.00 – авиационная и ракетно- космическая техника;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт",2015-12-01
"Научный вестник Новосибирского государственного технического университета","05.07.00 – авиационная и ракетно- космическая техника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
05.17.00 – химическая технология.",2015-12-01
"Научный и общественно- политический журнал Социология власти","23.00.00 – политология;
09.00.00 – философские науки;
22.00.00 – социологические науки.",2015-12-01
"Научный информационный сборник
Проблемы безопасности и чрезвычайных ситуаций","05.13.00 – информатика, вычислительная техника и управление;
05.26.00 – безопасность деятельности человека.",2015-12-01
"Национальные интересы: приоритеты и безопасность","08.00.00 – экономические науки;
05.13.00 – информатика, вычислительная техника и управление;
23.00.00 – политология.",2015-12-01
"Нейрокомпьютеры: разработка, применение","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление;
14.03.00 – медико-биологические науки",2015-12-01
"Нелинейный мир","01.01.00 – математика;
01.04.00 – физика;
05.12.00 – радиотехника и связь;
05.13.00 информатика, вычислительная техника и управление",2015-12-01
"Оборудование и технологии для нефтегазового комплекса","05.02.00 – машиностроение и машиноведение;
05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
02.00.00 – химические науки;
25.00.00 – науки о Земле.",2015-12-01
"Образование и общество","13.00.00 – педагогические науки;19.00.00 – психологические науки;22.00.00 – социологические науки.",2015-12-01
"Общенациональный научно- политический журнал Власть","23.00.00 – политология;
07.00.00 – исторические науки и археология;
22.00.00 – социологические науки.",2015-12-01
"Общество и право","12.00.00 –юридические науки;
22.00.00 –социологические науки",2015-12-01
"Общество. Среда. Развитие.","24.00.00 – культурология;
25.00.00 – науки о Земле;
22.00.00 – социологические науки.",2015-12-01
"Общество: социология, психология, педагогика","22.00.00 – социологические науки;
19.00.00 – психологические науки;
13.00.00 – педагогические науки",2015-12-01
"Онтология проектирования","05.13.00 – информатика, вычислительная техника и управление;
05.07.00 – авиационная и ракетно- космическая техника;
05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.23.00 – строительство и архитектура;",2015-12-01
"Открытое и дистанционное образование","05.13.00 – информатика, вычислительная техника и управление;
19.00.00 – психологические науки
13.00.00 – педагогические науки.",2015-12-01
"Открытое образование","05.13.00 – информатика, вычислительная техника и управление;
05.01.00 – инженерная геометрия и компьютерная графика;
13.00.00 – педагогические науки.",2015-12-01
"Открытые системы. СУБД","05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"П.О.И.С.К. (Политика. Обществоведение. Искусство. Социология. Культура)","23.00.00 – политология;
24.00.00 – культурология;
22.00.00 – социологические науки.",2015-12-01
"Пилотируемые полеты в космос","05.13.00 – информатика, вычислительная техника и управление;
05.26.00 – безопасность деятельности человека;
14.03.00 – медико-биологические науки;
13.00.00 – педагогические науки.",2015-12-01
"Подводные исследования и робототехника","01.02.00 – механика;
01.04.00 – физика;
05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Пожары и чрезвычайные ситуации: предотвращение, ликвидация","05.13.00 – информатика, вычислительная техника и управление;
05.26.00 – безопасность деятельности человека.",2015-12-01
"Политика и общество","23.00.00 – политология;
22.00.00 – социологические науки;
12.00.00 – юридические науки.",2015-12-01
"Препринты ИПМ им. М.В. Келдыша","01.01.00 – математика;
01.02.00 – механика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Приборы","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Прикладная дискретная математика","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Прикладная информатика / Journal of Applied Informatics","05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки.",2015-12-01
"Проблемы информационной безопасности. Компьютерные системы","05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Проблемы машиностроения и автоматизации","01.02.00 – механика;
05.02.00 – машиностроение и машиноведение;
05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 – металлургия и материаловедение.",2015-12-01
"Проблемы развития территории","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-01
"Программная инженерия","01.01.00 – математика;
05.01.00 – инженерная геометрия и компьютерная графика;
05.07.00 – авиационная и ракетно- космическая техника;
05.11.00 - приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 - информатика, вычислительная техника и управление.",2015-12-01
"Программные продукты и системы","01.01.00 – математика;
01.02.00 – механика;
01.03.00 – астрономия;
01.04.00 – физика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Программные системы и вычислительные методы","05.13.00 – информатика, вычислительная техника и управление;
05.01.00 – инженерная геометрия и компьютерная графика",2015-12-01
"Проектирование и технология электронных средств","05.12.00 – радиотехника и связь;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2015-12-01
"Промышленный сервис","05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.17.00 – химическая технология;
05.26.00 – безопасность деятельности человека.",2015-12-01
"Радиопромышленность","05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт.
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
08.00.00 – экономические науки.",2015-12-01
"Радиотехника","01.04.00 – физика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 –радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника",2015-12-01
"Развитие личности / Development of personality","19.00.00 – психологические науки;
09.00.00 – философские науки;
22.00.00 – социологические науки.",2015-12-01
"Регион: экономика и социология","08.00.00 – экономические науки;22.00.00 – социологические науки.",2015-12-01
"РЕГИОНОЛОГИЯ REGIONOLOGY","08.00.00 – экономические науки;23.00.00 – политология;22.00.00 – социологические науки.",2015-12-01
"Сборник научных трудов
Гетеромагнитная микроэлектроника","01.04.00 – физика;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника;
08.00.00 – экономические науки.",2015-12-01
"Системы высокой доступности","05.12.00 – радиотехника и связь;
05.13.00 –информатика, вычислительная техника и управление;
05.22.00 транспорт.",2015-12-01
"Системы и средства информатики","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Системы управления и информационные технологии","01.01.00 – математика;
01.02.00 – механика;
05.12.00 –радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.25.00 – документальная информация",2015-12-01
"Системы. Методы. Технологии","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
05.21.00 – технология, машины и оборудование лесозаготовок, лесного хозяйства, деревопереработки и химической переработки биомассы дерева;
05.23.00 – строительство и архитектура.",2015-12-01
"Современная наука: актуальные проблемы теории и практики.
Серия Естественные и технические науки","03.02.00 – общая биология;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
14.01.00 – клиническая медицина",2015-12-01
"Современные наукоемкие технологии","13.00.00 – педагогические науки;
05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.17.00 – химическая технология;
05.23.00 – строительство и архитектура.",2015-12-01
"Современные наукоемкие технологии. Региональное приложение","05.02.00 – машиностроение и машиноведение;
05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
05.20.00 – процессы и машины агроинженерных систем;
08.00.00 – экономические науки.",2015-12-01
"Современные технологии. Системный анализ. Моделирование","01.02.00 – механика;
05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт.",2015-12-01
"Социальная политика и социология","08.00.00 – экономические науки;22.00.00 – социологические науки;09.00.00 – философские науки.",2015-12-01
"Социально-экономические явления и процессы","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-01
"Социологический журнал","22.00.00 – социологические науки.",2015-12-01
"Социология","22.00.00 – социологические науки.",2015-12-01
"Социология и право","12.00.00 – юридические науки;
22.00.00 – социологические науки",2015-12-01
"Социология медицины","14.02.00 – профилактическая медицина;
22.00.00 – социологические науки;
09.00.00 – философские науки.",2015-12-01
"Социология науки и технологий Sociology of Science and Technology","07.00.00 – исторические науки и археология;
22.00.00 – социологические науки;
09.00.00 –философские науки",2015-12-01
"Социология образования","22.00.00 – социологические науки;
09.00.00 – философские науки.",2015-12-01
"Среднерусский вестник общественных наук","23.00.00 – политология;
22.00.00 – социологические науки;
08.00.00 – экономические науки.",2015-12-01
"Строительство и реконструкция","05.13.00 – информатика, вычислительная техника и управление;05.23.00 – строительство и архитектура",2015-12-01
"Строительство нефтяных и газовых скважин на суше и на море","01.02.00 – механика;
05.02.00 – машиностроение и машиноведение;
05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
25.00.00 – науки о Земле.",2015-12-01
"Телекоммуникации","05.12.00 –радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Теории и проблемы политических исследований","22.00.00 – социологические науки;23.00.00 – политология",2015-12-01
"Теория и практика общественного развития","22.00.00 – социологические науки;
08.00.00 – экономические науки;
12.00.00 – юридические науки",2015-12-01
"Теория и техника радиосвязи","05.12.00 – радиотехника и связь;05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Технологии и средства связи","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Транспорт и хранение нефтепродуктов и углеводородного сырья","25.00.00  – науки о Земле;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Тренды и управление","08.00.00 – экономические науки;
22.00.00 – социологические науки;
23.00.00 – политология",2015-12-01
"Труд и социальные отношения","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-01
"Труды Института математики и механики УрО РАН","01.01.00 – математика;
01.02.00 – механика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Труды Института системного анализа Российской академии наук","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки.",2015-12-01
"Труды Института системного программирования РАН","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Труды СПИИРАН","01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Труды ФГУП НПЦАП","05.07.00 – авиационная и ракетно- космическая техника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Университетский научный журнал","01.02.00 – механика;
01.04.00 – физика;
03.01.00 – физико-химическая биология;
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 – металлургия и материаловедение.",2015-12-01
"Университетское управление: практика и анализ","08.00.00 – экономические науки;
22.00.00 – социологические науки;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Управление персоналом и интеллектуальными ресурсами в России","08.00.00 – экономические науки;12.00.00 – юридические науки;22.00.00 – социологические науки.",2015-12-01
"Уровень жизни населения регионов России","22.00.00 – социологические науки;
09.00.00 – философские науки;
08.00.00 – экономические науки.",2015-12-01
"Успехи современной радиоэлектроники","01.01.00 – математика;
01.04.00 – физика;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2015-12-01
"Устойчивое развитие горных территорий","08.00.00 – экономические науки;
25.00.00 – науки о Земле;
05.05.00 – транспортное, горное и строительное машиностроение;
05.13.00 – информатика, вычислительная; техника и управление;
05.14.00 – энергетика.",2015-12-01
"Ученые записки Забайкальского государственного университета","03.01.00 – физико-химическая биология;
03.02.00 – общая биология;
03.03.00 – физиология;
22.00.00 – социологические науки;
13.00.00 – педагогические науки.",2015-12-01
"Ученые записки Комсомольского-на- Амуре государственного технического университета","01.02.00 – механика;
05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 –  металлургия и материаловедение;
24.00.00 – культурология.",2015-12-01
"Философия хозяйства - журнал Центра общественных наук и экономического факультета МГУ им. М.В. Ломоносова","08.00.00 – экономические науки;22.00.00 – социологические науки;09.00.00 – философские науки.",2015-12-01
"Фундаментальные исследования","05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника и управление;
05.17.00 – химическая технология;
05.23.00 – строительство и архитектура;
08.00.00 – экономические науки.",2015-12-01
"ФЭС: Финансы. Экономика. Стратегия.","05.13.00 – информатика, вычислительная техника и управление;
05.18.00 – технология продовольственных продуктов;
05.23.00 – строительство и архитектура;
08.00.00 – экономические науки;
12.00.00 – юридические науки.",2015-12-01
"Цифровая обработка сигналов","05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника.",2015-12-01
"Человек Научно-популярный, иллюстрированный журнал Президиума Российской академии наук","24.00.00 – культурология;
09.00.00 – философские науки;
22.00.00 – социологические науки.",2015-12-01
"Человек. Сообщество. Управление","19.00.00 – психологические науки;
22.00.00 – социологические науки;
23.00.00 – политология",2015-12-01
"ЭКО","08.00.00 - экономические науки;
22.00.00 - социологические науки.",2015-12-01
"Экономика и менеджмент систем управления","05.22.00 – транспорт;
05.13.00 – информатика, вычислительная техника и управление;
08.00.00 –экономические науки",2015-12-01
"Экономика и управление","08.00.00 – экономические науки;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Статистика и экономика
(До 23.11.2016 г. наименование в Перечне Экономика, статистика и информатика. Вестник УМО)","05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки;
13.00.00 – педагогические науки.",2015-12-01
"Экономические и гуманитарные исследования регионов","09.00.00 – философские науки;13.00.00 – педагогические науки22.00.00 – социологические науки",2015-12-01
"Экономические и гуманитарные науки","08.00.00 – экономические науки;22.00.00 – социологические науки;09.00.00 – философские науки.",2015-12-01
"Экономические и социальные перемены: факты, тенденции, прогноз","22.00.00 – социологические науки;
08.00.00 – экономические науки.",2015-12-01
"Экономический анализ: теория и практика","01.01.00 Математика
05.13.00 Информатика, вычислительная техника и управление
08.00.00 Экономические науки",2015-12-01
"Электромагнитные волны и электронные системы","01.04.00 – физика;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Электроника и электрооборудование транспорта","05.02.00 – машиностроение и машиноведение;
05.09.00 – электротехника;
05.13.00 – информатика, вычислительная техника и управление;
05.22.00 – транспорт;
05.27.00 – электроника.",2015-12-01
"Электросвязь","05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника",2015-12-01
"Электротехнические и информационные комплексы и системы","05.09.00 – электротехника;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.27.00 – электроника",2015-12-01
"Энергосбережение и водоподготовка","05.04.00 – энергетическое, металлургическое и химическое машиностроение;
05.13.00 – информатика, вычислительная техника и управление;
05.14.00 – энергетика;
05.23.00 – строительство и архитектура;
05.26.00 – безопасность деятельности человека.",2015-12-01
"Оборонный комплекс – научно- техническому прогрессу России – научно-технический журнал","05.02.00 – машиностроение и машиноведение;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.17.00 – химическая технология;
05.27.00 – электроника.",2015-12-29
"Антропологический форум","10.01.00 – литературоведение;
10.02.00 – языкознание;
07.00.00 – исторические науки и археология;
22.00.00 – социологические науки.",2015-12-29
"Вестник Адыгейского государственного университета, серия Естественно-математические и технические науки","01.01.00 – математика;
01.04.00 – физика;
03.03.00 – физиология;
05.13.00 – информатика, вычислительная техника и",2015-12-29
"Вестник Адыгейского государственного университета, серия Регионоведение: философия, история, социология, юриспруденция, политология, культурология","24.00.00 – культурология;
07.00.00 – исторические науки и археология;
22.00.00 – социологические науки.",2015-12-29
"Вестник Бурятского государственного университета. Математика, информатика","01.01.00 – математика;
01.02.00 – механика;
05.13.00 – информатика, вычислительная техника и",2015-12-29
