"Название журнала","Специализация","Дата включения в реестр"
"Вестник Казанского государственного технического университета
им. А.Н. Туполева","01.04.00 – физика;
05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 - радиотехника и связь;
05.13.00 - информатика, вычислительная техника и управление",2015-12-01
"Вестник Калмыцкого института гуманитарных исследований РАН","07.00.00 – исторические науки и археология;
10.01.00 – литературоведение;
10.02.00 – языкознание;
22.00.00 – социологические науки.",2015-12-01
"Вестник Камчатского государственного технического университета","03.02.00 – общая биология;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.18.00 – технология продовольственных продуктов;
08.00.00 – экономические науки.",2015-12-01
"Вестник компьютерных и информационных технологий","05.01.00 – инженерная геометрия и компьютерная графика;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление.",2015-12-01
"Вестник Майкопского государственного технологического университета","07.00.00 – исторические науки и археология;
13.00.00 – педагогические науки;
22.00.00 – социологические науки.",2015-12-01
"Вестник МГСУ","08.00.00 – экономические науки;
05.02.00 – машиностроение и машиноведение;
05.13.00 – информатика, вычислительная техника  и управление;
05.23.00 – строительство и архитектура;
05.26.00 – безопасность деятельности человека.",2015-12-01
"Вестник МГТУ Станкин","05.02.00 – машиностроение и машиноведение;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.13.00 – информатика, вычислительная техника и управление;
05.16.00 – металлургия и материаловедение;
08.00.00 – экономические науки.",2015-12-01
"Вестник МГТУ им. Н.Э. Баумана. Серия Естественные науки","01.01.00 – математика;
01.02.00 – механика;
01.04.00 – физика;
05.13.00 – информатика, вычислительная техника и управление;
02.00.00 – химические науки.",2015-12-01
"Вестник Мордовского университета","01.04.00 – физика;
05.13.00 – информатика, вычислительная техника и управление;
05.20.00 – процессы и машины агроинженерных систем;
14.01.00 – клиническая медицина;
14.03.00 – медико-биологические науки.",2015-12-01
"Вестник Московского государственного технического университета
им. Н.Э. Баумана.
Серия Приборостроение","01.04.00 – физика;
05.11.00 – приборостроение, метрология и информационно- измерительные приборы и системы;
05.12.00 – радиотехника и связь;
05.13.00 – информатика, вычислительная техника и управление;
05.07.00 – авиационная и ракетно- космическая техника.",2015-12-01
"Вестник Московского государственного университета леса
– Лесной вестник","03.02.00 – общая биология;
05.13.00 – информатика, вычислительная техника и управление;
05.21.00 – технология, машины и оборудование лесозаготовок, лесного хозяйства, деревопереработки и химической переработки биомассы дерева;
06.03.00 – лесное хозяйство.",2015-12-01
"Вестник Московского университета. Серия 18. Социология и политология","23.00.00 – политология;
22.00.00 – социологические науки;
09.00.00 – философские науки.",2015-12-01
"Вестник Московского финансово- юридического университета МФЮА","05.13.00 – информатика, вычислительная техника и управление;
08.00.00 – экономические науки;
12.00.00 – юридические науки.",2015-12-01
"Вестник Московского энергетического института","05.04.00  – энергетическое, металлургическое и химическое машиностроение;05.09.00  – электротехника;05.12.00 – радиотехника и связь;05.13.00 – информатика, вычислительная техника и управление;05.14.00 – энергетика.",2015-12-01
"Вестник научно-исследовательского института железнодорожного транспорта","08.00.00 – экономические науки
05.22.00 – транспорт;
05.16.00 – металлургия и материаловедение;
05.13.00 – информатика, вычислительная техника и управление;
05.02.00 – машиностроение и машиноведение",2015-12-01
"Вестник Национального исследовательского ядерного университета МИФИ","01.04.00 – физика;
01.01.00 – математика;
05.13.00 – информатика, вычислительная техника и управление",2015-12-01
